customer_id;timestamp;total_paid;purchase_count;age;subscription;channel
7202369;1510388425000.0;3796568.0;1;52;Regular;Online
5961254;1524663864000.0;894886.0;1;58;Regular;
1635355;;951255.0;1;37;Regular;
20404062;1496319834000.0;734948.0;1;36;Regular;
7439419;1489195747000.0;447122.0;2;35;Regular;Online
11357211;1510547042000.0;1322758.0;1;40;Premium;Online
23768905;1501241402000.0;652380.0;2;29;Premium;Offline
57506204;;1666263.0;1;26;Premium;Online
49653440;1542814228000.0;392127.0;1;62;Premium;
22347511;1501422762000.0;690660.0;1;26;Regular;Offline
25226724;;375772.0;1;18;Regular;Offline
3942811;;1440087.0;1;65;Regular;Online
22904929;1499336016000.0;1851944.0;1;61;Regular;Offline
62369180;;437753.0;1;22;Premium;Offline
91128754;;12753429.0;1;55;Regular;Offline
28214455;;327729.0;1;54;Premium;Online
12342342;1503664497000.0;681711.0;1;37;Premium;Online
5823540;1523498244000.0;308949.0;3;54;Premium;Online
18283602;1545026984000.0;1953993.0;1;35;Regular;
48345220;;1537357.0;1;59;Premium;Online
108901393;1547015184000.0;680216.0;1;52;Premium;Offline
5740105;1510299897000.0;1838672.0;2;19;Premium;Offline
6115177;;354538.0;1;44;Premium;
62355997;;288329.0;1;55;Premium;Offline
28497075;1534739089000.0;1165522.0;1;46;Premium;Offline
40998504;1540715388000.0;563709.0;1;49;Regular;Offline
100537244;1540291188000.0;459018.0;1;41;Premium;Offline
103473723;1547199373000.0;2482053.0;2;30;Premium;Offline
3888086;1509519247693.0;643692.0;2;61;Premium;Offline
4985217;1495341138000.0;1012373.0;32;39;Regular;Online
9912880;1531835719000.0;407695.0;1;35;Regular;Online
23794561;1501300635000.0;1066230.0;1;33;Regular;Online
60077602;1524209300000.0;301465.0;1;46;Premium;Offline
82819201;1541062035000.0;872809.0;2;53;Premium;Offline
24313281;1537537536000.0;621516.0;2;38;Regular;Offline
11493495;1530194770000.0;2355177.0;1;28;Premium;Offline
53807638;1521847362000.0;751211.0;1;49;Premium;Offline
8535625;1509887209000.0;938915.0;1;58;Premium;Online
22854835;;1004296.0;1;65;Regular;Online
17791758;1487136695014.0;1328386.0;6;36;Regular;Online
43260641;1528722904000.0;814351.0;1;31;Premium;Offline
21704981;1497427163000.0;655008.0;3;56;Premium;Offline
19943117;1521362471000.0;1381317.0;1;20;Premium;
74767066;1529482916000.0;615675.0;4;19;Premium;Offline
8299413;1488774768000.0;2887540.0;4;26;Regular;Online
14968761;1505099518000.0;727268.0;1;34;Premium;
30949243;1518954780000.0;1220832.0;1;25;Premium;Online
13294383;1487516252482.0;1344345.0;12;54;Regular;Offline
76499079;;1228140.0;1;34;Premium;Online
9316946;1503575429000.0;523882.0;2;28;Regular;Online
13741672;1508866601000.0;1608722.0;1;62;Regular;Offline
15788056;1533175418000.0;4522894.0;1;37;Regular;Offline
60826692;1524490082000.0;818113.0;2;27;Premium;Online
20553842;;718341.0;1;56;Premium;Offline
12858380;1512120380000.0;1918696.0;2;40;Regular;Online
25456730;;375212.0;1;28;Regular;Offline
4836374;1492070563000.0;1167777.0;1;47;Premium;Offline
24976815;1512031340000.0;5582823.0;1;50;Regular;Offline
33566570;;1083746.0;1;42;Regular;Online
6139209;1525236733000.0;677385.0;1;44;Premium;Offline
22333088;1530085289000.0;627615.0;1;20;Premium;Online
98424068;1539249325000.0;156418.0;1;22;Regular;Online
50625996;;909193.0;1;51;Premium;Online
113661617;;1925754.0;1;55;Regular;Offline
9768766;1508316712000.0;1574100.0;3;21;Premium;Offline
8824409;1513809512000.0;1589806.0;1;53;Premium;
22957843;1516849706000.0;375647.0;1;48;Regular;Offline
47230430;;940946.0;1;34;Regular;Online
86484690;1547464065000.0;851610.0;1;45;Regular;
5995986;1494916452000.0;760717.0;2;63;Regular;
57017613;;610179.0;1;45;Premium;Offline
14687578;1492592303000.0;698979.0;11;33;Premium;Offline
12034648;1521185454000.0;485693.0;1;24;Premium;Offline
66709648;1526720530000.0;745998.0;4;47;Premium;Online
15186461;;2424106.0;1;64;Premium;Online
17818711;1489848150000.0;337587.0;9;32;Premium;Online
18211185;1495635558000.0;937721.0;1;29;Regular;
17550201;1486645637519.0;418008.0;2;25;Premium;Offline
3745169;1488322097000.0;597232.0;11;42;Premium;Offline
38773157;1515849556000.0;1098089.0;1;22;Premium;
5849908;1487130175760.0;615193.0;2;19;Regular;Offline
24508094;;107860.0;1;35;Regular;
7646437;1526434321000.0;2990759.0;1;40;Regular;
31027156;1534592313000.0;337200.0;1;55;Premium;Offline
4276557;1515112548000.0;596601.0;1;35;Regular;Offline
7204721;1513211880000.0;779154.0;1;24;Regular;Online
7726415;1512099471000.0;416483.0;1;64;Premium;
6552665;;572147.0;1;58;Premium;Online
3843218;1514363018000.0;256128.0;1;56;Premium;Offline
54543530;;602115.0;1;43;Premium;Online
8065526;1496902960000.0;668779.0;1;26;Premium;Online
27791683;;178753.0;1;34;Premium;
19081496;1536483098000.0;911938.0;4;18;Regular;
17001342;1485416513939.0;712951.0;2;19;Premium;
28370355;1526262073000.0;527077.0;3;48;Regular;Online
434212;1491386984000.0;1341008.0;6;56;Regular;Online
7865212;1512900239000.0;2638071.0;1;32;Premium;Online
19395061;1545885595000.0;3358900.0;1;37;Premium;Offline
26024534;1515318018000.0;2130780.0;1;26;Regular;
80820249;1532405870000.0;1912384.0;1;62;Regular;Offline
6011707;1503840819000.0;973828.0;1;28;Premium;Offline
27046631;1508819134000.0;841458.0;1;55;Premium;Online
13260476;1491539596000.0;3186580.0;1;18;Regular;
59531766;1524201732000.0;11053879.0;1;40;Regular;
12108287;1486035323825.0;1056288.0;4;63;Regular;Online
